hotel_id,forecast_date,lead_time,booking_pickup_7d,rolling_demand_14d,cancellation_rate_28d,available_inventory,event_intensity,lag_occupancy_7d,lag_occupancy_28d,occupancy_rate
HOTEL-008,2023-07-19,65,40.329,0.7221,0.166,19,0.4193,0.6042,0.5251,0.7262
HOTEL-003,2023-07-20,58,24.341,0.545,0.1795,46,0.1777,0.6313,0.5122,0.5254
HOTEL-009,2023-07-20,82,31.042,0.7215,0.1679,29,0.2239,0.5496,0.577,0.6575
HOTEL-012,2023-07-20,15,30.19,0.6889,0.0819,27,0.2382,0.4983,0.5246,0.638
HOTEL-001,2023-07-21,14,36.858,0.4547,0.1763,28,0.0575,0.5341,0.5678,0.5505
HOTEL-010,2023-07-21,61,18.103,0.6262,0.1311,25,0.1552,0.6883,0.5609,0.5822
HOTEL-004,2023-07-21,59,20.978,0.5249,0.2013,33,0.0729,0.6137,0.4844,0.4557
HOTEL-002,2023-07-22,14,42.469,0.6083,0.1922,16,0.2405,0.6136,0.5788,0.7129
HOTEL-005,2023-07-22,39,31.171,0.6923,0.1581,36,0.1199,0.5076,0.6169,0.7128
HOTEL-011,2023-07-22,30,27.655,0.61,0.0691,31,0.0447,0.7063,0.6376,0.6419
HOTEL-006,2023-07-23,10,32.133,0.5237,0.143,21,0.1952,0.6739,0.5618,0.6385
HOTEL-003,2023-07-23,70,25.191,0.5549,0.1461,17,0.0997,0.4275,0.4506,0.531
HOTEL-012,2023-07-23,67,18.894,0.6236,0.1738,6,0.093,0.689,0.5842,0.65
HOTEL-007,2023-07-24,25,30.636,0.4618,0.1448,28,0.2192,0.5318,0.5814,0.5505
HOTEL-004,2023-07-24,77,27.25,0.5192,0.1548,26,0.093,0.6201,0.4856,0.5611
HOTEL-001,2023-07-24,81,34.427,0.726,0.2285,16,0.1384,0.5368,0.5738,0.6185
HOTEL-005,2023-07-25,85,12.857,0.5311,0.1336,21,0.0697,0.7017,0.4919,0.5017
HOTEL-008,2023-07-25,71,23.421,0.5395,0.1569,21,0.3061,0.6674,0.6045,0.5903
HOTEL-002,2023-07-25,87,17.029,0.3958,0.1986,30,0.3356,0.6905,0.5218,0.4756
HOTEL-009,2023-07-26,58,32.16,0.5958,0.2348,15,0.4541,0.5348,0.4796,0.604
HOTEL-003,2023-07-26,82,26.041,0.606,0.2167,7,0.2801,0.512,0.4446,0.591
HOTEL-006,2023-07-26,1,27.717,0.5329,0.1309,28,0.2657,0.6013,0.4596,0.5343
HOTEL-004,2023-07-27,62,19.726,0.4876,0.184,37,0.0344,0.5239,0.5283,0.4656
HOTEL-007,2023-07-27,88,27.638,0.6903,0.1573,27,0.3219,0.5098,0.6216,0.6135
HOTEL-010,2023-07-27,4,23.992,0.4983,0.0965,32,0.041,0.2988,0.5559,0.4632
HOTEL-008,2023-07-28,60,31.91,0.4918,0.1392,34,0.3369,0.5569,0.4644,0.5634
HOTEL-011,2023-07-28,21,32.925,0.6977,0.1597,3,0.3635,0.5458,0.4323,0.6733
HOTEL-005,2023-07-28,69,13.831,0.369,0.1495,46,0.0761,0.5807,0.5161,0.3537
HOTEL-006,2023-07-29,9,24.763,0.4446,0.0612,43,0.0194,0.575,0.5725,0.5327
HOTEL-012,2023-07-29,23,41.779,0.6182,0.1379,18,0.2915,0.5926,0.524,0.6939
HOTEL-009,2023-07-29,9,23.609,0.5211,0.0986,36,0.138,0.6582,0.5641,0.6423
HOTEL-007,2023-07-30,34,31.521,0.6854,0.1082,19,0.0976,0.7695,0.4424,0.69
HOTEL-010,2023-07-30,24,28.512,0.619,0.0891,29,0.0059,0.6642,0.6201,0.654
HOTEL-011,2023-07-31,24,26.688,0.5025,0.0669,35,0.3522,0.5683,0.4143,0.5185
HOTEL-008,2023-07-31,45,28.419,0.4584,0.1774,51,0.0452,0.5575,0.5662,0.4649
HOTEL-009,2023-08-01,76,27.966,0.5004,0.1763,23,0.0901,0.5934,0.4805,0.4788
HOTEL-012,2023-08-01,50,26.353,0.4287,0.156,39,0.187,0.6188,0.4479,0.4739
HOTEL-010,2023-08-02,4,35.493,0.4666,0.1074,35,0.0244,0.4532,0.4862,0.5163
HOTEL-001,2023-08-02,37,33.928,0.5101,0.1692,32,0.2257,0.5707,0.54,0.5371
HOTEL-002,2023-08-03,64,25.719,0.6167,0.2016,19,0.1938,0.6487,0.5736,0.6432
HOTEL-011,2023-08-03,85,20.676,0.5422,0.2062,41,0.1084,0.5495,0.4047,0.4433
HOTEL-012,2023-08-04,74,32.064,0.634,0.1717,16,0.2269,0.5534,0.5757,0.6394
HOTEL-003,2023-08-04,29,26.749,0.6328,0.0865,16,0.1117,0.5643,0.5236,0.5565
HOTEL-001,2023-08-05,68,31.614,0.6357,0.1763,27,0.039,0.5693,0.597,0.6659
HOTEL-004,2023-08-05,29,35.663,0.5641,0.1434,24,0.2454,0.6617,0.4958,0.651
HOTEL-002,2023-08-06,85,34.419,0.7406,0.1871,18,0.2978,0.5868,0.4853,0.695
HOTEL-005,2023-08-06,17,35.537,0.6367,0.2007,36,0.0644,0.5758,0.539,0.6211
HOTEL-003,2023-08-07,23,29.604,0.399,0.2024,31,0.1529,0.6823,0.5069,0.5059
HOTEL-006,2023-08-07,47,17.225,0.5992,0.1646,31,0.0175,0.6366,0.3675,0.5151
HOTEL-007,2023-08-08,13,28.874,0.627,0.0856,15,0.2107,0.4086,0.557,0.5936
HOTEL-004,2023-08-08,62,20.716,0.5214,0.2,13,0.2561,0.5576,0.5268,0.5526
HOTEL-005,2023-08-09,47,16.619,0.5095,0.2236,30,0.2492,0.5328,0.4872,0.4401
HOTEL-008,2023-08-09,27,40.596,0.6234,0.1902,21,0.1996,0.6246,0.4493,0.6246
HOTEL-006,2023-08-10,41,40.686,0.6033,0.1989,24,0.397,0.5044,0.3888,0.616
HOTEL-009,2023-08-10,50,28.829,0.5042,0.1328,31,0.0674,0.4959,0.5125,0.5169
HOTEL-007,2023-08-11,13,36.164,0.5652,0.2087,35,0.2913,0.5684,0.4046,0.5817
HOTEL-010,2023-08-11,56,27.119,0.4923,0.1674,36,0.1954,0.6049,0.5285,0.4982
HOTEL-008,2023-08-12,38,27.987,0.5364,0.1805,28,0.2416,0.7029,0.594,0.6475
HOTEL-011,2023-08-12,76,27.362,0.7662,0.1166,21,0.4591,0.4623,0.5523,0.7028
HOTEL-012,2023-08-13,72,38.945,0.6847,0.2121,22,0.3825,0.4095,0.4415,0.608
HOTEL-009,2023-08-13,0,24.951,0.6355,0.145,15,0.2259,0.5334,0.6396,0.7
HOTEL-010,2023-08-14,59,19.861,0.5289,0.2026,18,0.1603,0.6414,0.5033,0.5294
HOTEL-001,2023-08-14,72,23.461,0.5051,0.2252,28,0.0555,0.424,0.5061,0.4638
HOTEL-002,2023-08-15,47,27.717,0.6436,0.086,28,0.3195,0.6367,0.4086,0.618
HOTEL-011,2023-08-15,51,35.429,0.5027,0.1554,17,0.5316,0.4957,0.3956,0.6266
HOTEL-012,2023-08-16,40,22.639,0.5957,0.1993,25,0.054,0.4814,0.4963,0.5236
HOTEL-003,2023-08-16,0,30.993,0.67,0.1116,18,0.0405,0.5228,0.4706,0.6633
HOTEL-004,2023-08-17,47,32.892,0.4362,0.162,32,0.026,0.4586,0.5231,0.4487
HOTEL-001,2023-08-17,44,28.339,0.4778,0.1433,24,0.0674,0.5791,0.5766,0.5506
HOTEL-002,2023-08-18,78,37.642,0.482,0.1848,19,0.2529,0.5102,0.6011,0.5223
HOTEL-005,2023-08-18,62,29.041,0.4214,0.2038,33,0.094,0.6611,0.5025,0.4921
HOTEL-003,2023-08-19,36,29.003,0.6423,0.1099,17,0.3955,0.5152,0.4905,0.6396
HOTEL-006,2023-08-19,2,38.327,0.5755,0.1293,21,0.5543,0.6627,0.5877,0.741
HOTEL-007,2023-08-20,2,31.323,0.5449,0.0648,30,0.1462,0.5761,0.4745,0.6235
HOTEL-004,2023-08-20,1,30.764,0.6334,0.171,26,0.1512,0.5883,0.4606,0.6434
HOTEL-008,2023-08-21,38,33.227,0.6315,0.106,32,0.1115,0.4248,0.4931,0.5132
HOTEL-005,2023-08-21,27,21.285,0.5785,0.1147,25,0.2029,0.6172,0.4853,0.5244
HOTEL-009,2023-08-22,11,37.333,0.4802,0.1156,17,0.2736,0.4909,0.4791,0.5394
HOTEL-006,2023-08-22,75,30.674,0.4955,0.2215,30,0.3384,0.4347,0.4934,0.5128
HOTEL-010,2023-08-23,52,28.18,0.5638,0.1227,5,0.4246,0.5327,0.4645,0.6412
HOTEL-007,2023-08-23,2,13.137,0.492,0.1354,30,0.1839,0.6108,0.5086,0.4981
HOTEL-008,2023-08-24,6,36.62,0.5111,0.1299,18,0.1838,0.5033,0.4987,0.5902
HOTEL-011,2023-08-24,19,22.034,0.4161,0.1298,42,0.1342,0.5457,0.437,0.464
HOTEL-012,2023-08-25,11,23.601,0.395,0.0524,36,0.089,0.5352,0.4975,0.4676
HOTEL-009,2023-08-25,64,23.318,0.6497,0.1205,9,0.3743,0.441,0.4832,0.6418
HOTEL-001,2023-08-26,6,38.711,0.6739,0.1337,9,0.2614,0.4859,0.4932,0.7661
HOTEL-010,2023-08-26,48,33.69,0.6742,0.1237,14,0.1458,0.5634,0.6397,0.6614
HOTEL-011,2023-08-27,1,33.62,0.559,0.064,33,0.2551,0.641,0.5145,0.6356
HOTEL-002,2023-08-27,87,22.267,0.5445,0.1309,19,0.1003,0.4942,0.6445,0.6006
HOTEL-012,2023-08-28,4,26.66,0.4649,0.1539,23,0.2241,0.4543,0.3929,0.4578
HOTEL-003,2023-08-28,24,21.773,0.4541,0.1102,43,0.1293,0.4982,0.4723,0.4495
HOTEL-001,2023-08-29,68,29.341,0.4873,0.2598,22,0.3852,0.4892,0.4789,0.5341
HOTEL-004,2023-08-29,37,18.969,0.4248,0.168,36,0.0047,0.498,0.5589,0.4276
HOTEL-005,2023-08-30,50,30.064,0.4617,0.1321,30,0.1143,0.6356,0.523,0.5326
HOTEL-002,2023-08-30,61,22.945,0.4931,0.1631,24,0.088,0.5929,0.5107,0.5011
HOTEL-003,2023-08-31,86,22.554,0.5106,0.2003,21,0.5207,0.5606,0.5202,0.5719
HOTEL-006,2023-08-31,24,35.071,0.5936,0.1371,31,0.2075,0.6073,0.5185,0.6383
HOTEL-007,2023-09-01,16,19.318,0.3547,0.1793,34,0.1838,0.4884,0.4635,0.3866
HOTEL-004,2023-09-01,38,26.921,0.5375,0.0984,20,0.4242,0.6437,0.3706,0.5827
HOTEL-008,2023-09-02,35,27.749,0.6079,0.1725,13,0.4134,0.5185,0.4501,0.6513
HOTEL-005,2023-09-02,28,30.508,0.4611,0.1501,21,0.1437,0.6348,0.5352,0.6034
HOTEL-009,2023-09-03,49,25.818,0.5408,0.1676,18,0.3888,0.7314,0.424,0.6507
HOTEL-006,2023-09-03,49,21.921,0.6308,0.1883,27,0.0854,0.7731,0.4287,0.6249
HOTEL-007,2023-09-04,60,19.492,0.5423,0.1387,21,0.1839,0.5903,0.5175,0.5227
HOTEL-010,2023-09-04,88,28.136,0.5247,0.1712,24,0.2925,0.5303,0.5781,0.5637
HOTEL-011,2023-09-05,45,34.993,0.4511,0.1127,20,0.278,0.4972,0.39,0.5099
HOTEL-008,2023-09-05,58,24.921,0.4468,0.2157,29,0.3263,0.6112,0.4964,0.5028
HOTEL-009,2023-09-06,42,25.706,0.5125,0.2029,33,0.0589,0.414,0.4054,0.4166
HOTEL-012,2023-09-06,39,30.733,0.524,0.1269,15,0.2332,0.6041,0.5336,0.5807
HOTEL-010,2023-09-07,32,29.401,0.456,0.1133,31,0.2353,0.3206,0.4007,0.495
HOTEL-001,2023-09-07,44,37.131,0.4195,0.1422,31,0.3699,0.4457,0.4697,0.5299
HOTEL-011,2023-09-08,8,33.303,0.4765,0.097,26,0.3052,0.5106,0.4554,0.5456
HOTEL-002,2023-09-08,84,28.124,0.4132,0.184,47,0.1151,0.5052,0.5023,0.4589
HOTEL-012,2023-09-09,69,28.942,0.516,0.1191,23,0.0679,0.4994,0.527,0.5652
HOTEL-003,2023-09-09,74,16.445,0.5334,0.183,25,0.0981,0.5249,0.4463,0.535
HOTEL-004,2023-09-10,8,38.441,0.6023,0.1585,44,0.2465,0.6522,0.5375,0.6995
HOTEL-001,2023-09-10,17,32.9,0.5667,0.0537,40,0.1907,0.5289,0.591,0.6729
HOTEL-002,2023-09-11,58,31.688,0.4601,0.1369,33,0.3827,0.5149,0.4006,0.5293
HOTEL-005,2023-09-11,12,26.01,0.3889,0.0713,24,0.1916,0.441,0.5485,0.4633
HOTEL-003,2023-09-12,67,25.504,0.2801,0.1051,33,0.0559,0.5808,0.431,0.3991
HOTEL-006,2023-09-12,74,24.404,0.5475,0.2233,28,0.1024,0.4532,0.476,0.4839
HOTEL-004,2023-09-13,8,40.486,0.6224,0.1404,29,0.4474,0.4851,0.4893,0.6163
HOTEL-007,2023-09-13,78,25.469,0.4167,0.1291,24,0.1678,0.5228,0.4741,0.4386
HOTEL-008,2023-09-14,13,24.579,0.3854,0.0744,30,0.3341,0.486,0.548,0.4894
HOTEL-005,2023-09-14,53,39.153,0.507,0.1636,15,0.3394,0.4136,0.5069,0.578
HOTEL-009,2023-09-15,87,20.018,0.4187,0.1336,31,0.2618,0.4952,0.3969,0.409
HOTEL-006,2023-09-15,42,36.472,0.6297,0.1483,21,0.2301,0.6073,0.4336,0.6317
HOTEL-007,2023-09-16,18,27.58,0.5108,0.2131,40,0.0957,0.5012,0.4664,0.5309
HOTEL-010,2023-09-16,58,25.138,0.5618,0.1891,21,0.2962,0.4743,0.5103,0.6365
HOTEL-011,2023-09-17,20,40.37,0.5526,0.1009,16,0.4912,0.507,0.4501,0.6895
HOTEL-008,2023-09-17,87,36.914,0.6668,0.2033,20,0.265,0.6903,0.4868,0.7607
HOTEL-012,2023-09-18,4,28.021,0.4997,0.1406,26,0.0591,0.4842,0.5364,0.5459
HOTEL-009,2023-09-18,5,21.935,0.5314,0.1923,24,0.2031,0.4662,0.5479,0.5118
HOTEL-010,2023-09-19,40,28.927,0.4343,0.1522,27,0.0123,0.6813,0.4513,0.5001
HOTEL-001,2023-09-19,64,15.069,0.4366,0.2104,41,0.0691,0.4489,0.3845,0.3717
HOTEL-002,2023-09-20,87,19.59,0.5491,0.2169,27,0.5379,0.4371,0.5524,0.4968
HOTEL-011,2023-09-20,23,24.799,0.5364,0.0886,28,0.2279,0.4785,0.4729,0.5359
HOTEL-003,2023-09-21,77,29.583,0.3821,0.2265,30,0.0364,0.5616,0.5599,0.4212
HOTEL-012,2023-09-21,7,29.788,0.4795,0.0957,37,0.2444,0.5307,0.4801,0.533
HOTEL-004,2023-09-22,62,18.714,0.3705,0.194,50,0.0169,0.442,0.4303,0.374
HOTEL-001,2023-09-22,58,19.64,0.5681,0.1955,19,0.0702,0.5332,0.5248,0.5188
HOTEL-005,2023-09-23,45,31.426,0.6525,0.1563,10,0.4475,0.6339,0.448,0.7195
HOTEL-002,2023-09-23,14,47.193,0.6386,0.1368,24,0.1498,0.5074,0.4522,0.6899
HOTEL-006,2023-09-24,44,40.882,0.6165,0.1708,26,0.2068,0.6921,0.4872,0.7145
HOTEL-003,2023-09-24,6,36.081,0.4468,0.1512,23,0.1588,0.6296,0.4833,0.6134
HOTEL-007,2023-09-25,63,22.292,0.5539,0.1461,27,0.2906,0.5503,0.4956,0.5343
HOTEL-004,2023-09-25,5,30.719,0.4253,0.107,22,0.0125,0.4019,0.4844,0.4681
HOTEL-008,2023-09-26,31,16.149,0.3156,0.1826,37,0.0689,0.4711,0.5456,0.365
HOTEL-005,2023-09-26,20,21.55,0.3946,0.1805,48,0.1353,0.4277,0.58,0.4351
HOTEL-006,2023-09-27,8,20.954,0.5181,0.1302,21,0.047,0.4846,0.473,0.514
HOTEL-009,2023-09-27,61,27.906,0.5191,0.1145,27,0.5892,0.5045,0.4966,0.5576
HOTEL-010,2023-09-28,0,40.973,0.4382,0.1631,47,0.2531,0.5857,0.3659,0.5337
HOTEL-007,2023-09-28,51,27.385,0.433,0.112,30,0.305,0.4368,0.461,0.5083
HOTEL-011,2023-09-29,59,19.291,0.4126,0.1498,21,0.1678,0.5268,0.5014,0.4277
HOTEL-008,2023-09-29,25,24.895,0.5085,0.1609,27,0.2251,0.5231,0.4265,0.504
HOTEL-012,2023-09-30,75,21.57,0.4882,0.2032,25,0.1229,0.5751,0.4546,0.5273
HOTEL-009,2023-09-30,87,28.668,0.7593,0.1729,16,0.0711,0.7178,0.4587,0.7114
HOTEL-001,2023-10-01,60,30.684,0.6366,0.2305,27,0.1178,0.5926,0.5628,0.6216
HOTEL-010,2023-10-01,71,22.158,0.5877,0.165,18,0.1845,0.5816,0.4155,0.6604
HOTEL-011,2023-10-02,40,19.983,0.4347,0.1599,24,0.1977,0.5344,0.5106,0.4613
HOTEL-002,2023-10-02,17,39.106,0.4485,0.1713,30,0.5013,0.3901,0.4964,0.5823
HOTEL-003,2023-10-03,57,12.652,0.3583,0.1734,13,0.1424,0.4779,0.4551,0.4066
HOTEL-012,2023-10-03,85,17.534,0.3406,0.2097,40,0.038,0.4932,0.5167,0.3813
HOTEL-004,2023-10-04,22,34.266,0.506,0.1713,20,0.0968,0.5212,0.5537,0.574
HOTEL-001,2023-10-04,17,17.715,0.4188,0.1194,20,0.093,0.3807,0.4113,0.4151
HOTEL-005,2023-10-05,1,40.738,0.5356,0.1284,16,0.4378,0.4033,0.4303,0.5871
HOTEL-002,2023-10-05,3,28.569,0.5528,0.1075,34,0.2076,0.3862,0.4579,0.5208
HOTEL-006,2023-10-06,66,23.52,0.4213,0.202,15,0.3287,0.5137,0.5629,0.4841
HOTEL-003,2023-10-06,3,37.334,0.5035,0.1199,17,0.4017,0.5721,0.4376,0.6429
HOTEL-004,2023-10-07,24,18.702,0.5639,0.0786,27,0.1725,0.6408,0.5563,0.5979
HOTEL-007,2023-10-07,64,21.76,0.4578,0.1681,15,0.0589,0.5219,0.4169,0.5234
HOTEL-005,2023-10-08,18,33.352,0.6075,0.1156,33,0.0575,0.6817,0.4064,0.6644
HOTEL-008,2023-10-08,51,27.753,0.5485,0.1754,26,0.0296,0.5751,0.4392,0.5806
HOTEL-006,2023-10-09,2,26.524,0.5186,0.1332,15,0.2351,0.5119,0.4866,0.5856
HOTEL-009,2023-10-09,34,32.801,0.4479,0.1011,37,0.0309,0.6095,0.5016,0.5684
HOTEL-007,2023-10-10,6,23.697,0.4379,0.1818,26,0.2175,0.4618,0.492,0.4882
HOTEL-010,2023-10-10,80,29.108,0.5368,0.1331,22,0.6851,0.5649,0.5108,0.628
HOTEL-008,2023-10-11,84,14.614,0.4622,0.1678,39,0.0309,0.5234,0.3068,0.3898
HOTEL-011,2023-10-11,82,26.623,0.5714,0.1937,37,0.2378,0.3968,0.5551,0.466
HOTEL-012,2023-10-12,15,28.205,0.5619,0.1231,19,0.2822,0.3927,0.4424,0.5706
HOTEL-009,2023-10-12,2,36.401,0.4696,0.1824,22,0.3541,0.3234,0.4262,0.5599
HOTEL-001,2023-10-13,35,21.308,0.4611,0.186,28,0.5495,0.508,0.4096,0.4985
HOTEL-010,2023-10-13,29,23.773,0.4643,0.15,33,0.1695,0.4601,0.4109,0.4557
HOTEL-002,2023-10-14,11,31.46,0.5543,0.1331,25,0.108,0.5481,0.4269,0.5925
HOTEL-011,2023-10-14,55,48.442,0.6377,0.1927,25,0.289,0.607,0.5967,0.7433
HOTEL-003,2023-10-15,85,28.241,0.6675,0.2037,19,0.3382,0.6509,0.5471,0.6733
HOTEL-012,2023-10-15,0,39.985,0.5875,0.1581,21,0.3433,0.6153,0.463,0.6819
HOTEL-001,2023-10-16,43,32.565,0.5417,0.1706,16,0.5781,0.5563,0.5286,0.6175
HOTEL-004,2023-10-16,36,18.405,0.3139,0.1405,26,0.2326,0.3838,0.4038,0.4018
HOTEL-005,2023-10-17,4,27.178,0.4574,0.1684,45,0.0515,0.441,0.4642,0.4446
HOTEL-002,2023-10-17,58,20.637,0.4868,0.1777,13,0.3951,0.499,0.4577,0.5134
HOTEL-006,2023-10-18,44,27.879,0.3084,0.1439,42,0.1684,0.4734,0.4748,0.4157
HOTEL-003,2023-10-18,24,30.032,0.5268,0.1047,29,0.2393,0.5157,0.4858,0.5793
HOTEL-004,2023-10-19,59,24.245,0.4262,0.1671,10,0.3187,0.5965,0.4443,0.5328
HOTEL-007,2023-10-19,53,30.989,0.5631,0.1426,4,0.5466,0.5455,0.4931,0.6469
HOTEL-008,2023-10-20,89,19.019,0.5105,0.1441,29,0.2087,0.6375,0.4127,0.498
HOTEL-005,2023-10-20,13,18.965,0.4617,0.0753,24,0.132,0.5206,0.4839,0.4996
HOTEL-009,2023-10-21,24,32.82,0.5853,0.1593,27,0.2237,0.5593,0.4988,0.6305
HOTEL-006,2023-10-21,30,24.961,0.5817,0.2067,24,0.1193,0.5448,0.4906,0.601
HOTEL-010,2023-10-22,57,29.917,0.4009,0.1517,38,0.0726,0.5021,0.549,0.5041
HOTEL-007,2023-10-22,43,32.048,0.5081,0.1705,18,0.3365,0.4297,0.4301,0.5833
HOTEL-008,2023-10-23,27,33.827,0.55,0.1974,24,0.318,0.3773,0.4037,0.4874
HOTEL-011,2023-10-23,29,21.949,0.5309,0.1201,20,0.4179,0.5311,0.4534,0.5747
HOTEL-009,2023-10-24,67,21.483,0.48,0.2099,29,0.0112,0.5085,0.536,0.4902
HOTEL-012,2023-10-24,51,23.597,0.5544,0.1659,13,0.1815,0.5038,0.4505,0.569
HOTEL-010,2023-10-25,68,31.605,0.5314,0.1114,25,0.0582,0.5421,0.5928,0.5625
HOTEL-001,2023-10-25,77,32.777,0.4758,0.1867,27,0.0381,0.4571,0.5444,0.4998
HOTEL-011,2023-10-26,47,21.782,0.4802,0.1551,38,0.0598,0.655,0.5999,0.4991
HOTEL-002,2023-10-26,54,22.564,0.4356,0.1834,26,0.0964,0.369,0.5139,0.4306
HOTEL-012,2023-10-27,46,37.692,0.6238,0.1774,16,0.1605,0.3754,0.5241,0.5995
HOTEL-003,2023-10-27,86,8.203,0.4678,0.1898,19,0.1291,0.6309,0.4813,0.4464
HOTEL-004,2023-10-28,40,25.341,0.565,0.166,29,0.067,0.584,0.4411,0.5589
HOTEL-001,2023-10-28,40,35.608,0.5924,0.2202,10,0.052,0.4676,0.3999,0.6504
HOTEL-002,2023-10-29,20,32.914,0.6333,0.0592,29,0.3682,0.6177,0.4052,0.6881
HOTEL-005,2023-10-29,89,18.65,0.4401,0.1352,29,0.1295,0.5762,0.4568,0.5415
HOTEL-003,2023-10-30,70,21.089,0.5014,0.1721,18,0.0814,0.5912,0.5287,0.4915
HOTEL-006,2023-10-30,24,38.311,0.5932,0.1196,7,0.3162,0.5593,0.533,0.6985
HOTEL-004,2023-10-31,77,19.572,0.4681,0.1947,40,0.0859,0.586,0.5505,0.4764
HOTEL-007,2023-10-31,45,30.533,0.519,0.1887,17,0.409,0.4716,0.5285,0.5705
HOTEL-005,2023-11-01,34,22.04,0.5151,0.095,37,0.0263,0.5504,0.4245,0.5005
HOTEL-008,2023-11-01,49,34.779,0.5447,0.1799,5,0.4572,0.5995,0.5357,0.6536
HOTEL-009,2023-11-02,25,29.057,0.3265,0.1173,31,0.176,0.6075,0.5155,0.5184
HOTEL-006,2023-11-02,26,18.033,0.4953,0.1273,20,0.147,0.5603,0.4442,0.5474
HOTEL-010,2023-11-03,55,28.122,0.4594,0.1361,35,0.3697,0.3978,0.4016,0.4958
HOTEL-007,2023-11-03,82,18.507,0.5458,0.1939,31,0.423,0.494,0.5673,0.5085
HOTEL-011,2023-11-04,68,21.975,0.454,0.181,17,0.2512,0.7318,0.3502,0.5428
HOTEL-008,2023-11-04,54,38.202,0.572,0.1351,32,0.3059,0.5677,0.5143,0.6341
HOTEL-012,2023-11-05,35,27.174,0.4652,0.1896,30,0.0451,0.4541,0.4091,0.5157
HOTEL-009,2023-11-05,6,38.488,0.5873,0.1385,15,0.4098,0.6553,0.476,0.7383
HOTEL-010,2023-11-06,19,32.315,0.4206,0.1505,36,0.2161,0.6465,0.5354,0.5576
HOTEL-001,2023-11-06,30,32.934,0.513,0.1366,29,0.1468,0.5583,0.4668,0.5314
HOTEL-011,2023-11-07,19,34.596,0.5472,0.0865,41,0.2456,0.5407,0.5047,0.5788
HOTEL-002,2023-11-07,87,17.575,0.3825,0.1767,43,0.1967,0.4643,0.5337,0.3971
HOTEL-012,2023-11-08,19,34.604,0.4552,0.1316,44,0.0867,0.5311,0.4468,0.5152
HOTEL-003,2023-11-08,5,29.272,0.5253,0.0679,28,0.3163,0.4615,0.4992,0.5685
HOTEL-004,2023-11-09,89,31.084,0.576,0.1807,26,0.0025,0.6135,0.4369,0.4957
HOTEL-001,2023-11-09,65,36.949,0.6713,0.1169,22,0.1598,0.6278,0.5542,0.6802
HOTEL-005,2023-11-10,53,35.286,0.4933,0.1246,25,0.3613,0.4757,0.5919,0.5747
HOTEL-002,2023-11-10,43,11.992,0.4485,0.1339,38,0.0164,0.569,0.4515,0.4558
HOTEL-006,2023-11-11,33,25.766,0.577,0.1949,20,0.0366,0.5456,0.4735,0.6571
HOTEL-003,2023-11-11,73,24.637,0.575,0.2419,18,0.1071,0.518,0.5618,0.6115
HOTEL-007,2023-11-12,56,29.921,0.6602,0.1957,25,0.1471,0.6637,0.5243,0.6905
HOTEL-004,2023-11-12,39,34.92,0.4991,0.1381,29,0.1937,0.5799,0.4898,0.5756
HOTEL-008,2023-11-13,11,26.527,0.5668,0.2072,29,0.0717,0.4245,0.4305,0.5117
HOTEL-005,2023-11-13,19,26.423,0.4668,0.1812,41,0.0286,0.4033,0.5868,0.4678
HOTEL-006,2023-11-14,81,22.562,0.4558,0.1769,31,0.2647,0.5042,0.6178,0.4806
HOTEL-009,2023-11-14,3,36.174,0.4381,0.0941,39,0.2194,0.5731,0.5016,0.5438
HOTEL-010,2023-11-15,36,35.017,0.4574,0.1493,6,0.4212,0.6857,0.5222,0.6339
HOTEL-007,2023-11-15,56,33.022,0.5699,0.1776,7,0.4143,0.3855,0.5125,0.5591
HOTEL-011,2023-11-16,87,24.193,0.4069,0.1567,33,0.1304,0.4979,0.4445,0.4397
HOTEL-008,2023-11-16,41,28.872,0.5784,0.1535,13,0.4335,0.5321,0.4677,0.6134
HOTEL-012,2023-11-17,34,19.078,0.4546,0.1269,27,0.0463,0.489,0.3505,0.4684
HOTEL-009,2023-11-17,55,16.142,0.4065,0.2034,27,0.0182,0.5204,0.3909,0.4049
HOTEL-001,2023-11-18,82,35.355,0.7012,0.1917,15,0.328,0.5646,0.446,0.6704
HOTEL-010,2023-11-18,7,30.514,0.6215,0.1168,29,0.0623,0.5394,0.4619,0.6251
HOTEL-002,2023-11-19,33,34.996,0.5811,0.214,28,0.0305,0.5703,0.4989,0.6172
HOTEL-011,2023-11-19,11,35.134,0.6455,0.1433,25,0.1138,0.5377,0.4586,0.6602
HOTEL-003,2023-11-20,89,28.573,0.6439,0.2005,47,0.2686,0.5336,0.5687,0.5613
HOTEL-012,2023-11-20,1,34.232,0.5681,0.1306,18,0.2206,0.6428,0.5255,0.6531
HOTEL-004,2023-11-21,17,33.308,0.4875,0.128,23,0.0316,0.4732,0.5798,0.5069
HOTEL-001,2023-11-21,33,31.176,0.474,0.0833,50,0.2363,0.4955,0.4181,0.4903
HOTEL-005,2023-11-22,49,15.598,0.4498,0.1311,28,0.033,0.5133,0.582,0.4677
HOTEL-002,2023-11-22,49,22.501,0.4957,0.1808,25,0.0312,0.5124,0.4771,0.4795
HOTEL-006,2023-11-23,17,31.451,0.5369,0.1512,38,0.1377,0.7208,0.5152,0.5675
HOTEL-003,2023-11-23,47,30.991,0.513,0.1938,31,0.1097,0.5609,0.552,0.5599
